mansi,rus
"Вāгтāл товлагумтыл но̄ӈх вос лапнувум,","На своих слабеньких крыльях вверх бы мне подняться,"
"Мā янытэ̄тыл вос кāсаланувлум,","Всю землю сверху взором бы мне окинуть,"
"Пēс йис мāхманув тох яласа̄лмыт,","В древности наши люди умели к небу подниматься,"
Кисла̄квыӈ мāкēв тāн со̄ль мувылта̄лмыт.,Круглую нашу землю они умели облетать.
"Ты хāйтнэ тулыт тāн нумыл ялманыл,","Над этими бегущими облаками они сверху передвигались,"
"Ты миннэ тулыт ёл-хультупта̄лманыл,","Эти идущие облака они снизу оставляли,"
"Ё̄раныл-мутраныл То̄румн туп вāвет,","Их силу и мудрость только один Торум знает,"
Нāй-о̄тыр наманыл ат ёрувлавет.,Имена их женских и мужских духов-покровителей никогда не забудутся.
Тāн о̄ньсюм мутраныл хоталь минасыт?,Но куда же подевалась та мудрость сегодня?
"Хо̄т, хотты йисыт сыс тан тыпыгласыт?","Где, в каких веках она утратилась?"
Манрыг тыхо̄тал мāн но̄ӈх ат лапēв-а?,Почему сегодня мы не может подняться вверх?
Манарын ос хотьютын ёл-пувавēв-а?,Кто и почему нас удерживает на земле?
"Āти, тāн э̄рганыл о̄с сумылласыт,","Нет, сегодня песни прошедших веков снова стали звучать,"
"Тāн пинум лāтӈаныл но̄ӈх лапаясыт,","Сложенные в древности слова снова всплывают в памяти,"
Мāньси мирув аквтоп товлыӈыг ēмтыс —,И от этого мансийский народ словно стал крылатым —
Хунь пēс мāхум потрыт хӯнтамлаӈкв вēрмыс.,"От того, что нашёл и смог услышать древние предания."
"Э̄ква-пыг-пыгрись о̄с но̄ӈх ялтуптавес,","И снова Эква-пыг-пыгрись возрождается в народе,"
"Тāв мутраӈ номттēтэ ат тыпылтавес,","Его мудрый ум, оказывается, не потерян,"
"Паль о̄сьнэ хо̄тпан тав хӯлуӈкв патаве,","Уши имеющий человек его может услышать,"
Сам о̄сьнэ хо̄тпан тав ка̄сала̄лаве.,Глаза имеющий человек его может увидеть.
"Товлагум вāгта̄лыг, но̄ӈх ат лапēгум...","Крылья мои слабы, вверх подняться не могу…"
Я̄тил мāм хосыт ам са̄гтым ё̄мēгум!,По милой своей земле я все же счастливо иду!
"Нāй-о̄тырӈ мā-витт матъёмас о̄лэ̄гум,","На земле, оберегаемой женскими и мужскими духами-покровителями, я живу,"
Мир о̄лнэ̄ хо̄тал То̄румныл по̄йксēгум.,Для жизни своего народа светлые дни у Торума молю.
Сӯма āгит,Девушки из деревни Сума
Э̄рыг,Песня
"Сӯма пāвыл, Сӯма пāвыл хӯрум āги,","Из деревни Сума, из деревни Сума три девушки,"
"Сӯма пāвыл, Сӯма пāвыл нила āги.","Из деревни Сума, из деревни Сума четыре девушки."
"Ма̄н та ōланта̄лыкēва-та̄лыкēва,","Вот мы живём-живём,"
Ма̄н та хӯланталыкēва-та̄лыкēва.,Вот мы поживаем-поживаем.
"Та̄гт а̄ вāта, Та̄гт а̄ вāта хоса вōлькве,","Вдоль берегов реки Сосьвы, вдоль берегов реки Сосьва этот длинный плёс,"
"Паль-а̄ вāта, Паль-а̄ вāта восьлах ро̄ськве,","берега речки Палья, берега речки Палья, этот вязкий глинистый берег"
"Акв сёс хуня, акв сёс хуня ё̄мыгласлув,","Не единожды, не единожды проходили,"
"Акв сёс хуня, акв сёс хуня ха̄йтыгласлув.","Не единожды, не единожды пробегали,"
"Сэ̄мыл сампа, сэ̄мыл сампа яныг сорткве,","С чёрными глазами, с чёрными глазами больших щук,"
"Сōрни тынпа, сōрни тынпа ёмас сорхкве,","С золотой ценой, с золотой ценой хороших сырков (рыба – пелядь)"
"Ӯсьлахттāла, ӯсьлахттāла хо̄нтыгласлув,","Без отдыха, без отдыха добывали."
"Ва̄гтāл патта̄л, ва̄гтāл паттāл алыгласлув.","Без устали, без устали ловили."
"Омам лāвум, омам лāвум вēськат лāтыӈ,","Матерью сказанные, матерью произнесенные правильные слова,"
"А̄тяв хӯлтум, а̄тяв хӯлтум мутра номта","Отцом указанные, отцом подсказанные мудрые мысли"
"Торгамтаӈкве, торгамтаӈкве ка̄сасēва,","Понять их, понять их стремимся,"
"Э̄лаль тотуӈкв, э̄лаль тотуӈкв номсантэ̄ва.","Вдаль их нести, вдаль их передать мы хотим."
"Сӯма пāвыл, Сӯма пāвыл хӯрум āги,","Мы из деревни Сума, из деревни Сума три девушки,"
"Сӯма пāвыл, Сӯма пāвыл нила āги,","Из деревни Сума, из деревни Сума четыре девушки."
"Ма̄н та суйтанта̄лыкēва-та̄лыкēва,","О нас далеко слыхать, далеко,"
Ма̄н та мирганта̄лыкēва-та̄лыкēва.,"Нас многие знают, многие."
Э̄кват ялпыӈ хōтал,Женский праздник (8 марта)!
Тыгыл э̄кват ялпыӈ хōтал!,Скоро наступит женский день!
Омам ос тах мӯйлуптылум.,Маме своей я подарю подарок.
Ты тыныӈ посыӈ хōтал,Этот прекрасный светлый день
Омам ёрыл ка̄салылум.,"Я ценю потому, что у меня есть мама."
"Таве хумус ат номыглылум,","Как же я могу не помнить этот день,"
Хумус таве ат янытлылум.,"Как же я могу не восхвалять свою маму,"
А̄нум тав ты ōньсигластэ,"Ведь она мне подарила жизнь,"
А̄нум тав ты нёвитастэ.,"Ведь она меня убаюкивала,"
"Ӯлум урыл э̄ргыгластэ,","Пела мне колыбельные песни,"
"Ёмас потыр потыртастэ,",Рассказывала мне истории.
Сым та̄рсыг о̄с лӯптаквег,"Называя меня кровинушкой и листочком,"
Э̄рыг ёт тав нёвитастэ.,С песней меня укачивала.
"Я̄тил тыныӈ āги лӯптаг,","Милым дорогим цветочком,"
"Ос лāтыӈ яныт ла̄пантыйыг,","Бабочкой, величиной со слово,"
"Э̄тэ-хōтал лāвылтастэ,","День и ночь меня называла,"
Э̄тэ-хōтал вотгасьластэ.,"День и ночь меня приглаживала,"
"Сюнь-со̄т ōсьнэ сирыл янмалтастэ,","Для счастливой радостной жизни растила,"
